station,date,prcp,tobs
USC00519397,40292,0,23.9
USC00519397,40293,0,24.4
USC00519397,40294,0,24.4
USC00519397,40296,0,24.4
USC00519397,40298,0,25
USC00519397,40299,0,25
USC00519397,40300,0.8,22.8
USC00519397,40301,5.1,23.3
USC00519397,40302,2,24.4
USC00519397,40303,0.3,24.4
USC00519397,40304,0,26.7
USC00519397,40305,1.3,23.3
USC00519397,40306,0,25
USC00519397,40307,0,25
USC00519397,40308,0,24.4
USC00519397,40309,0,25
USC00519397,40311,0,25.6
USC00519397,40312,0,25.6
USC00519397,40313,0,23.9
USC00519397,40314,0.8,22.8
USC00519397,40315,0,25
USC00519397,40316,0,24.4
USC00519397,40317,0,25
USC00519397,40319,,25
USC00519397,40320,0,25.6
USC00519397,40321,1.3,23.9
USC00519397,40322,0,25
USC00519397,40323,0,25
USC00519397,40324,0.5,25
USC00519397,40325,0,24.4
USC00519397,40326,0,23.9
USC00519397,40327,0,25
USC00519397,40328,0,25
USC00519397,40329,0,25
USC00519397,40330,0,25.6
USC00519397,40331,0.3,24.4
USC00519397,40332,0,25.6
USC00519397,40333,0,24.4
USC00519397,40334,0,25
USC00519397,40335,0,25.6
USC00519397,40336,0,25
USC00519397,40337,0,25.6
USC00519397,40338,0,25.6
USC00519397,40339,0,26.1
USC00519397,40340,0,25.6
USC00519397,40341,0,25.6
USC00519397,40342,0,25.6
USC00519397,40343,0,25
USC00519397,40344,0,25.6
USC00519397,40345,0,25.6
USC00519397,40346,0,25
USC00519397,40347,0,25
USC00519397,40348,0,27.8
USC00519397,40349,0,25.6
USC00519397,40350,0,25.6
USC00519397,40351,0,25.6
USC00519397,40352,0,25.6
USC00519397,40353,0,25.6
USC00519397,40354,0,25
USC00519397,40355,0.5,24.4
USC00519397,40356,0,25.6
USC00519397,40357,0,25.6
USC00519397,40358,0,25.6
USC00519397,40359,0,25.6
USC00519397,40360,0.3,23.9
USC00519397,40361,1.3,25
USC00519397,40362,2.3,25
USC00519397,40363,1.3,25.6
USC00519397,40364,1.5,25.6
USC00519397,40365,2,24.4
USC00519397,40366,2,23.3
USC00519397,40367,0.8,24.4
USC00519397,40368,1.5,23.3
USC00519397,40369,2.3,24.4
USC00519397,40370,0,25.6
USC00519397,40371,0,25
USC00519397,40372,0,26.7
USC00519397,40375,,25.6
USC00519397,40376,0.5,24.4
USC00519397,40377,0,25
USC00519397,40378,1,25
USC00519397,40380,0,26.7
USC00519397,40381,0,25.6
USC00519397,40383,0,26.7
USC00519397,40384,0,26.1
USC00519397,40385,0,25.6
USC00519397,40386,0,26.1
USC00519397,40387,0,25.6
USC00519397,40388,0,26.1
USC00519397,40389,0,25.6
USC00519397,40390,0.5,25
USC00519397,40391,1,25
USC00519397,40392,0.3,24.4
USC00519397,40393,0.5,25
USC00519397,40394,1.8,25
USC00519397,40395,2,23.9
USC00519397,40396,0.8,23.9
USC00519397,40397,0,26.7
USC00519397,40398,0,25
USC00519397,40399,0,25.6
USC00519397,40400,0,25.6
USC00519397,40401,0,25
USC00519397,40402,0,24.4
USC00519397,40403,0,25.6
USC00519397,40404,0,25.6
USC00519397,40405,0.3,24.4
USC00519397,40406,0,24.4
USC00519397,40407,1.3,23.3
USC00519397,40408,0,25
USC00519397,40409,0,26.1
USC00519397,40410,0,26.1
USC00519397,40411,0,26.1
USC00519397,40412,0,23.9
USC00519397,40413,0.3,30.6
USC00519397,40414,0,25.6
USC00519397,40415,1,24.4
USC00519397,40416,0.8,25.6
USC00519397,40417,0,25.6
USC00519397,40418,1,26.1
USC00519397,40419,0,25.6
USC00519397,40420,0,25.6
USC00519397,40421,0,26.7
USC00519397,40422,0,25
USC00519397,40423,0.5,24.4
USC00519397,40424,1,25.6
USC00519397,40425,0.3,25
USC00519397,40426,0,25
USC00519397,40427,0,25
USC00519397,40428,1.5,24.4
USC00519397,40429,0,25.6
USC00519397,40430,0,25.6
USC00519397,40431,0,25.6
USC00519397,40432,1.3,25.6
USC00519397,40433,0,23.3
USC00519397,40434,0,25.6
USC00519397,40435,0,26.1
USC00519397,40436,0,25
USC00519397,40437,0,26.1
USC00519397,40438,0,25.6
USC00519397,40440,0,25.6
USC00519397,40441,0,25.6
USC00519397,40442,0,26.1
USC00519397,40443,1,24.4
USC00519397,40444,0,25.6
USC00519397,40445,0,25.6
USC00519397,40446,0,26.1
USC00519397,40447,0,23.3
USC00519397,40448,0,23.9
USC00519397,40449,0,23.9
USC00519397,40450,0,25.6
USC00519397,40451,14.5,22.8
USC00519397,40452,7.9,25.6
USC00519397,40453,0.8,25.6
USC00519397,40454,0,25.6
USC00519397,40455,1.5,25.6
USC00519397,40456,0,26.7
USC00519397,40457,0,26.1
USC00519397,40458,0,26.1
USC00519397,40459,0,25.6
USC00519397,40460,0,25.6
USC00519397,40461,0,25.6
USC00519397,40462,0,25
USC00519397,40463,0,26.1
USC00519397,40464,0,25.6
USC00519397,40466,0,25.6
USC00519397,40467,0,25
USC00519397,40468,0,24.4
USC00519397,40469,0,24.4
USC00519397,40470,1.8,22.2
USC00519397,40471,0,23.3
USC00519397,40472,0,26.7
USC00519397,40473,0,25
USC00519397,40474,0,23.9
USC00519397,40475,0,25.6
USC00519397,40476,0,25.6
USC00519397,40477,1.8,24.4
USC00519397,40478,1.3,26.1
USC00519397,40479,1.5,25.6
USC00519397,40480,0.8,25.6
USC00519397,40481,0.5,25
USC00519397,40482,0,24.4
USC00519397,40483,0.3,23.9
USC00519397,40484,0.3,22.8
USC00519397,40486,,22.8
USC00519397,40487,0,25
USC00519397,40488,0,24.4
USC00519397,40489,0,25
USC00519397,40490,0,24.4
USC00519397,40491,0,22.8
USC00519397,40492,5.8,22.8
USC00519397,40493,0,25
USC00519397,40494,0,25
USC00519397,40495,0,24.4
USC00519397,40498,0,22.8
USC00519397,40499,0,22.8
USC00519397,40501,,22.2
USC00519397,40502,0.8,20.6
USC00519397,40503,0,20.6
USC00519397,40504,0,20
USC00519397,40505,0,20.6
USC00519397,40506,0,24.4
USC00519397,40507,0,24.4
USC00519397,40509,0,23.9
USC00519397,40510,0,23.3
USC00519397,40511,0,20.6
USC00519397,40512,0,23.3
USC00519397,40513,1,24.4
USC00519397,40515,0,23.3
USC00519397,40516,0,23.3
USC00519397,40518,0,17.8
USC00519397,40519,0,17.8
USC00519397,40520,0,19.4
USC00519397,40521,0,25
USC00519397,40522,40.1,18.9
USC00519397,40523,19.6,20.6
USC00519397,40524,0,20
USC00519397,40525,0,20
USC00519397,40526,0,21.7
USC00519397,40527,0,23.3
USC00519397,40528,0,19.4
USC00519397,40529,0,18.9
USC00519397,40530,0,20.6
USC00519397,40531,35.6,21.7
USC00519397,40535,0,21.1
USC00519397,40536,0,21.1
USC00519397,40538,,23.3
USC00519397,40539,3.3,23.3
USC00519397,40540,14,21.7
USC00519397,40541,1.5,23.9
USC00519397,40542,0.3,23.9
USC00519397,40543,0,22.2
USC00519397,40544,0,20.6
USC00519397,40545,0,22.2
USC00519397,40546,0,23.3
USC00519397,40547,0,22.8
USC00519397,40548,0,17.8
USC00519397,40549,0.3,18.3
USC00519397,40550,0,20
USC00519397,40551,0,16.7
USC00519397,40552,0,14.4
USC00519397,40553,0,22.8
USC00519397,40554,2.3,15.6
USC00519397,40556,,20
USC00519397,40557,0.8,24.4
USC00519397,40558,0,20
USC00519397,40559,0,18.9
USC00519397,40560,0,17.8
USC00519397,40561,0,17.8
USC00519397,40562,0.8,17.8
USC00519397,40563,0,24.4
USC00519397,40564,0,23.9
USC00519397,40565,0,20
USC00519397,40566,0,20
USC00519397,40567,0,22.2
USC00519397,40568,0,17.2
USC00519397,40570,0,20
USC00519397,40571,0,23.9
USC00519397,40572,0,18.3
USC00519397,40573,0,17.8
USC00519397,40574,5.6,20
USC00519397,40575,0,20
USC00519397,40576,0,18.9
USC00519397,40577,0,19.4
USC00519397,40578,0,17.8
USC00519397,40579,0,18.3
USC00519397,40580,0,23.9
USC00519397,40581,32.8,20
USC00519397,40582,33,21.7
USC00519397,40583,0,21.7
USC00519397,40584,7.4,21.7
USC00519397,40586,,20
USC00519397,40587,0,20
USC00519397,40588,1,22.2
USC00519397,40589,1.3,21.1
USC00519397,40590,0,23.3
USC00519397,40593,0,19.4
USC00519397,40594,43.7,21.7
USC00519397,40595,0,21.7
USC00519397,40596,20.8,21.7
USC00519397,40597,0,23.3
USC00519397,40598,5.1,20
USC00519397,40599,0,21.7
USC00519397,40600,0,20.6
USC00519397,40601,0,20.6
USC00519397,40602,0,20
USC00519397,40603,2.5,20
USC00519397,40604,0,22.2
USC00519397,40605,0,23.3
USC00519397,40606,22.4,22.2
USC00519397,40607,10.2,20.6
USC00519397,40608,0.8,21.1
USC00519397,40610,,22.2
USC00519397,40611,5.1,21.7
USC00519397,40612,3.8,21.7
USC00519397,40614,0,22.2
USC00519397,40615,0,21.1
USC00519397,40616,0,21.7
USC00519397,40618,0,24.4
USC00519397,40619,0.3,22.8
USC00519397,40620,1.3,23.3
USC00519397,40621,0.3,23.3
USC00519397,40622,0.5,23.3
USC00519397,40623,0,23.3
USC00519397,40624,0.5,23.3
USC00519397,40625,0,23.3
USC00519397,40626,1.5,22.8
USC00519397,40627,0,23.3
USC00519397,40628,0,23.3
USC00519397,40629,0,22.8
USC00519397,40630,1,23.3
USC00519397,40632,0,23.9
USC00519397,40633,0,23.3
USC00519397,40634,1.3,23.3
USC00519397,40635,1,23.9
USC00519397,40636,0,23.3
USC00519397,40637,0,23.9
USC00519397,40638,0,23.3
USC00519397,40639,2.3,21.1
USC00519397,40640,28.2,21.1
USC00519397,40641,9.1,21.1
USC00519397,40642,0.5,24.4
USC00519397,40643,0,24.4
USC00519397,40644,0,24.4
USC00519397,40645,0,24.4
USC00519397,40646,0,21.1
USC00519397,40648,0,25
USC00519397,40649,3,23.3
USC00519397,40650,0,22.8
USC00519397,40651,0,24.4
USC00519397,40652,0,24.4
USC00519397,40653,0,23.3
USC00519397,40654,0,25
USC00519397,40655,0,25
USC00519397,40656,0,25.6
USC00519397,40657,0,25
USC00519397,40658,0,25
USC00519397,40659,0,24.4
USC00519397,40660,0,25
USC00519397,40662,0,25.6
USC00519397,40663,1,24.4
USC00519397,40664,0,25
USC00519397,40665,0,25
USC00519397,40666,53.3,21.1
USC00519397,40667,0.5,24.4
USC00519397,40668,3,23.3
USC00519397,40669,3,22.2
USC00519397,40670,14,23.3
USC00519397,40671,14,22.8
USC00519397,40672,0.5,23.9
USC00519397,40673,2.8,23.9
USC00519397,40674,2.5,23.9
USC00519397,40675,0,24.4
USC00519397,40676,0,25
USC00519397,40677,0,25.6
USC00519397,40678,0,25
USC00519397,40679,0,25.6
USC00519397,40680,0,25
USC00519397,40681,0,24.4
USC00519397,40682,0.3,25
USC00519397,40683,0,26.1
USC00519397,40684,0,25
USC00519397,40685,1.5,23.3
USC00519397,40686,0.5,25.6
USC00519397,40687,0,25
USC00519397,40688,0,26.1
USC00519397,40689,0,25.6
USC00519397,40690,0,25.6
USC00519397,40691,0,25
USC00519397,40692,0,25.6
USC00519397,40693,0,25.6
USC00519397,40694,1.3,22.8
USC00519397,40695,1.8,25
USC00519397,40696,0,25.6
USC00519397,40697,14.2,22.8
USC00519397,40698,22.6,21.1
USC00519397,40699,0,24.4
USC00519397,40700,0,25
USC00519397,40701,0,25
USC00519397,40702,0.8,25
USC00519397,40703,0.3,25
USC00519397,40704,0,25.6
USC00519397,40705,0,25
USC00519397,40706,0,25
USC00519397,40707,0,25.6
USC00519397,40708,0,25.6
USC00519397,40709,0,25
USC00519397,40711,0,25.6
USC00519397,40712,0,25.6
USC00519397,40713,1.3,23.9
USC00519397,40714,1.5,24.4
USC00519397,40715,1.8,24.4
USC00519397,40718,,25
USC00519397,40719,0,25.6
USC00519397,40720,0,24.4
USC00519397,40721,0.3,25
USC00519397,40722,0.3,23.9
USC00519397,40723,0,25
USC00519397,40725,1.3,25
USC00519397,40726,0.5,25.6
USC00519397,40727,0,25.6
USC00519397,40728,0,25.6
USC00519397,40729,0.3,25.6
USC00519397,40730,0.3,24.4
USC00519397,40731,0.3,24.4
USC00519397,40732,0,25
USC00519397,40733,0.8,25
USC00519397,40734,0.5,25
USC00519397,40735,0,25.6
USC00519397,40736,0,25
USC00519397,40737,3.8,22.8
USC00519397,40738,0,25
USC00519397,40739,0,26.1
USC00519397,40740,0,25.6
USC00519397,40741,1,25
USC00519397,40742,0,25.6
USC00519397,40743,0,25.6
USC00519397,40744,0,24.4
USC00519397,40745,0.8,25
USC00519397,40747,0,25.6
USC00519397,40748,0,25
USC00519397,40749,0,25.6
USC00519397,40750,0,25.6
USC00519397,40751,1,25
USC00519397,40752,2.3,25
USC00519397,40753,1,25.6
USC00519397,40754,3,26.7
USC00519397,40755,0,25
USC00519397,40756,0,25.6
USC00519397,40757,0,25
USC00519397,40758,0,25.6
USC00519397,40759,0.5,24.4
USC00519397,40760,0.8,25.6
USC00519397,40761,0.3,25
USC00519397,40762,0,25.6
USC00519397,40763,0,25.6
USC00519397,40764,0,26.1
USC00519397,40766,0,25.6
USC00519397,40767,0,25.6
USC00519397,40768,0,24.4
USC00519397,40769,0,25.6
USC00519397,40770,0,25
USC00519397,40771,0,26.1
USC00519397,40772,0.5,25
USC00519397,40773,0,25
USC00519397,40774,0,25.6
USC00519397,40775,1.8,25
USC00519397,40776,0,25
USC00519397,40777,0,25.6
USC00519397,40778,0,25.6
USC00519397,40779,0,26.1
USC00519397,40780,0,25.6
USC00519397,40781,0,25.6
USC00519397,40782,0,26.1
USC00519397,40783,1.3,24.4
USC00519397,40784,2.5,24.4
USC00519397,40785,0.5,25.6
USC00519397,40786,0,26.1
USC00519397,40788,0,26.1
USC00519397,40789,0,25.6
USC00519397,40790,0.8,25
USC00519397,40791,0,25
USC00519397,40792,0,22.8
USC00519397,40793,0,22.8
USC00519397,40794,0,25
USC00519397,40795,0,26.1
USC00519397,40796,0,25
USC00519397,40797,0,25
USC00519397,40798,0,29.4
USC00519397,40799,0.3,25
USC00519397,40800,0,24.4
USC00519397,40801,0,26.1
USC00519397,40802,0,26.1
USC00519397,40803,0.5,25
USC00519397,40804,1,25
USC00519397,40805,0,27.8
USC00519397,40806,0,26.7
USC00519397,40807,0,26.1
USC00519397,40808,0.8,25.6
USC00519397,40809,0,24.4
USC00519397,40810,0,25
USC00519397,40811,0,23.3
USC00519397,40812,0,25
USC00519397,40813,0,25.6
USC00519397,40814,0,25
USC00519397,40817,0,25.6
USC00519397,40818,0,25.6
USC00519397,40819,0,26.7
USC00519397,40821,,26.1
USC00519397,40822,0,23.9
USC00519397,40823,0.8,25.6
USC00519397,40824,0,26.1
USC00519397,40825,0,25.6
USC00519397,40826,0.5,25
USC00519397,40827,0.8,25.6
USC00519397,40828,0,25
USC00519397,40829,0,25
USC00519397,40830,0.8,25.6
USC00519397,40831,0.5,25
USC00519397,40832,0,24.4
USC00519397,40833,0.5,25
USC00519397,40834,0.3,24.4
USC00519397,40835,0,23.3
USC00519397,40836,0,25.6
USC00519397,40837,0,24.4
USC00519397,40838,0,25
USC00519397,40839,0,23.9
USC00519397,40840,3.6,23.3
USC00519397,40841,40.6,25
USC00519397,40842,0.3,24.4
USC00519397,40843,0,25
USC00519397,40844,1.3,22.8
USC00519397,40845,0.3,24.4
USC00519397,40846,0,23.9
USC00519397,40847,0.8,24.4
USC00519397,40848,14.7,21.7
USC00519397,40849,7.1,25
USC00519397,40850,0.5,25
USC00519397,40851,0.3,23.9
USC00519397,40852,0,24.4
USC00519397,40853,0,25
USC00519397,40854,0,25.6
USC00519397,40855,0,24.4
USC00519397,40856,0.5,24.4
USC00519397,40857,0,24.4
USC00519397,40858,1.3,23.3
USC00519397,40859,0,23.9
USC00519397,40860,0,24.4
USC00519397,40861,0,22.8
USC00519397,40862,0,21.7
USC00519397,40863,0,23.9
USC00519397,40864,0,24.4
USC00519397,40865,0,25.6
USC00519397,40866,0,24.4
USC00519397,40867,0,23.9
USC00519397,40868,0.3,24.4
USC00519397,40869,0.5,22.8
USC00519397,40870,0.3,23.9
USC00519397,40871,0,22.8
USC00519397,40872,0.3,21.1
USC00519397,40873,0.5,23.9
USC00519397,40874,1.8,22.8
USC00519397,40875,0,22.2
USC00519397,40876,0,22.2
USC00519397,40877,0.5,18.9
USC00519397,40878,0.8,20.6
USC00519397,40879,2,20
USC00519397,40880,0,22.8
USC00519397,40881,0,23.3
USC00519397,40882,0,22.8
USC00519397,40883,0,22.8
USC00519397,40884,0,22.8
USC00519397,40885,0,22.8
USC00519397,40886,3.3,21.7
USC00519397,40887,1.8,22.8
USC00519397,40888,1.8,22.8
USC00519397,40889,2,25
USC00519397,40890,10.2,22.2
USC00519397,40891,17.8,21.7
USC00519397,40892,0,22.8
USC00519397,40893,0.3,21.1
USC00519397,40894,1.8,22.8
USC00519397,40895,0.5,20.6
USC00519397,40896,3.8,23.3
USC00519397,40897,0.5,22.2
USC00519397,40898,4.6,21.7
USC00519397,40899,0.8,22.2
USC00519397,40900,1,22.2
USC00519397,40901,2.5,21.1
USC00519397,40902,0.8,22.8
USC00519397,40903,0,22.8
USC00519397,40904,0,22.2
USC00519397,40905,0,22.8
USC00519397,40906,0,22.8
USC00519397,40907,0,22.2
USC00519397,40908,0.3,17.2
USC00519397,40909,0,17.2
USC00519397,40910,0,18.9
USC00519397,40911,0,18.9
USC00519397,40912,0,23.3
USC00519397,40914,0,21.7
USC00519397,40915,0,18.3
USC00519397,40916,0,16.1
USC00519397,40918,0,21.7
USC00519397,40919,0,18.3
USC00519397,40920,0,18.9
USC00519397,40922,0,16.1
USC00519397,40923,0,23.3
USC00519397,40924,1,23.9
USC00519397,40925,0,23.9
USC00519397,40926,0,23.9
USC00519397,40927,0.5,20
USC00519397,40928,0,22.8
USC00519397,40929,0,23.3
USC00519397,40930,0,23.3
USC00519397,40931,0,19.4
USC00519397,40932,0,18.9
USC00519397,40933,0,20.6
USC00519397,40934,0,23.3
USC00519397,40935,1,20
USC00519397,40936,0.8,22.2
USC00519397,40937,26.2,22.2
USC00519397,40938,0.3,21.7
USC00519397,40939,0,21.7
USC00519397,40940,0,18.9
USC00519397,40941,0,22.2
USC00519397,40942,0,17.2
USC00519397,40943,0,18.3
USC00519397,40944,0,20.6
USC00519397,40945,0,21.7
USC00519397,40946,9.4,21.7
USC00519397,40947,7.1,18.3
USC00519397,40948,0.3,16.1
USC00519397,40949,0,21.7
USC00519397,40950,0,22.2
USC00519397,40951,0,22.2
USC00519397,40952,1,22.2
USC00519397,40953,0.3,18.3
USC00519397,40954,0,18.9
USC00519397,40955,0,22.8
USC00519397,40956,0,22.8
USC00519397,40957,1,21.7
USC00519397,40958,0.3,22.2
USC00519397,40959,0,22.8
USC00519397,40960,0,22.2
USC00519397,40961,0,22.8
USC00519397,40962,0,25
USC00519397,40963,0,19.4
USC00519397,40964,0,20.6
USC00519397,40965,1.3,22.8
USC00519397,40966,1.5,22.2
USC00519397,40967,0,22.8
USC00519397,40968,0,23.3
USC00519397,40969,1.5,22.8
USC00519397,40970,0,19.4
USC00519397,40971,0.8,21.7
USC00519397,40972,0.3,22.2
USC00519397,40973,27.4,19.4
USC00519397,40974,101.6,20.6
USC00519397,40975,61.5,19.4
USC00519397,40976,0.5,20.6
USC00519397,40977,4.8,18.9
USC00519397,40978,1.5,22.8
USC00519397,40979,0,23.3
USC00519397,40980,0.8,21.7
USC00519397,40981,0,22.2
USC00519397,40982,0,22.8
USC00519397,40983,0,21.7
USC00519397,40984,1.3,22.2
USC00519397,40985,0,22.8
USC00519397,40986,0,22.2
USC00519397,40987,0,22.8
USC00519397,40988,0,20.6
USC00519397,40989,0,22.8
USC00519397,40990,0.8,23.3
USC00519397,40991,0.3,22.2
USC00519397,40992,0,23.3
USC00519397,40993,0,23.3
USC00519397,40994,2.8,22.2
USC00519397,40995,0.8,21.1
USC00519397,40996,0.5,21.7
USC00519397,40997,0,22.2
USC00519397,40998,0,22.8
USC00519397,40999,0,23.3
USC00519397,41000,0,22.8
USC00519397,41001,0,23.3
USC00519397,41002,0,23.9
USC00519397,41003,0,23.3
USC00519397,41004,4.8,23.3
USC00519397,41005,0,23.3
USC00519397,41006,0.8,23.3
USC00519397,41007,0,23.3
USC00519397,41008,1.8,22.2
USC00519397,41009,1.3,20.6
USC00519397,41010,1.5,21.7
USC00519397,41011,0,21.1
USC00519397,41012,0.8,21.7
USC00519397,41013,0,21.1
USC00519397,41014,0.3,23.9
USC00519397,41015,0.3,23.9
USC00519397,41016,0,23.9
USC00519397,41017,0,23.9
USC00519397,41018,0,23.9
USC00519397,41019,0,23.9
USC00519397,41020,0.3,23.3
USC00519397,41021,1,20.6
USC00519397,41022,0.8,22.8
USC00519397,41023,0,22.8
USC00519397,41024,0,23.9
USC00519397,41025,0,23.3
USC00519397,41026,0,23.9
USC00519397,41027,0,24.4
USC00519397,41028,0,23.9
USC00519397,41029,0,23.9
USC00519397,41030,0,23.9
USC00519397,41031,0,23.9
USC00519397,41032,0,23.9
USC00519397,41033,0,23.9
USC00519397,41034,1,23.3
USC00519397,41035,0,23.9
USC00519397,41036,0,23.3
USC00519397,41037,0,23.9
USC00519397,41038,0,23.3
USC00519397,41039,0,23.3
USC00519397,41040,0,23.9
USC00519397,41041,0,23.9
USC00519397,41042,0,22.2
USC00519397,41043,0,23.3
USC00519397,41044,0,23.3
USC00519397,41045,0,23.9
USC00519397,41046,0,24.4
USC00519397,41047,0,25
USC00519397,41048,0,25
USC00519397,41049,0,25
USC00519397,41050,0,24.4
USC00519397,41051,0,25
USC00519397,41052,0,24.4
USC00519397,41053,0,25.6
USC00519397,41054,0,25
USC00519397,41055,0,24.4
USC00519397,41056,0,24.4
USC00519397,41057,0,25
USC00519397,41058,0,24.4
USC00519397,41059,0,24.4
USC00519397,41060,0.3,22.8
USC00519397,41061,0.5,24.4
USC00519397,41062,0.5,24.4
USC00519397,41063,0,23.9
USC00519397,41064,0,25
USC00519397,41065,0,25
USC00519397,41066,0,24.4
USC00519397,41067,0,25.6
USC00519397,41068,,25
USC00519397,41069,,24.4
USC00519397,41070,0,25
USC00519397,41071,0,24.4
USC00519397,41072,0,24.4
USC00519397,41073,0,25
USC00519397,41074,0,25
USC00519397,41075,0,25.6
USC00519397,41076,0,25
USC00519397,41077,0,25
USC00519397,41078,0,25
USC00519397,41079,0,24.4
USC00519397,41080,0,23.9
USC00519397,41081,0,24.4
USC00519397,41082,0,24.4
USC00519397,41083,0,25
USC00519397,41084,0,24.4
USC00519397,41085,0.8,22.8
USC00519397,41086,3.8,22.8
USC00519397,41087,0.3,23.9
USC00519397,41088,0,25
USC00519397,41089,1.3,24.4
USC00519397,41090,0,25
USC00519397,41091,0,24.4
USC00519397,41092,0,25
USC00519397,41093,1,23.3
USC00519397,41094,0.3,25
USC00519397,41095,0.8,25
USC00519397,41096,0,25.6
USC00519397,41097,1,24.4
USC00519397,41098,0,25
USC00519397,41099,,25
USC00519397,41100,0,24.4
USC00519397,41101,0,24.4
USC00519397,41102,0,24.4
USC00519397,41103,0,25
USC00519397,41104,0,25.6
USC00519397,41105,0,25
USC00519397,41106,0.3,25.6
USC00519397,41107,0,25.6
USC00519397,41108,0,25.6
USC00519397,41109,0,23.9
USC00519397,41110,0,25
USC00519397,41111,0,24.4
USC00519397,41112,0,24.4
USC00519397,41113,0,26.1
USC00519397,41114,0,25
USC00519397,41115,0,25
USC00519397,41116,0.5,25
USC00519397,41117,0,25
USC00519397,41118,0,25
USC00519397,41119,0.3,22.8
USC00519397,41120,0.3,25.6
USC00519397,41121,0,25.6
USC00519397,41122,0,26.1
USC00519397,41123,0,25.6
USC00519397,41124,0,25.6
USC00519397,41125,0,25.6
USC00519397,41126,0,25.6
USC00519397,41127,0,25
USC00519397,41128,0,25
USC00519397,41129,0.5,25.6
USC00519397,41130,0,25.6
USC00519397,41131,0,24.4
USC00519397,41132,0,23.9
USC00519397,41133,0,25.6
USC00519397,41134,0,25.6
USC00519397,41135,0,25
USC00519397,41136,0.3,26.1
USC00519397,41137,0,25.6
USC00519397,41138,0,25.6
USC00519397,41139,,25
USC00519397,41140,,24.4
USC00519397,41141,0,26.1
USC00519397,41142,0,25
USC00519397,41143,0.8,25
USC00519397,41144,0,25.6
USC00519397,41145,0,25.6
USC00519397,41146,0,25.6
USC00519397,41147,0,25.6
USC00519397,41148,0.5,22.8
USC00519397,41149,25.4,23.9
USC00519397,41150,0.5,25.6
USC00519397,41151,1,25.6
USC00519397,41152,0,25.6
USC00519397,41153,0.3,25
USC00519397,41154,1,24.4
USC00519397,41155,1.5,25
USC00519397,41156,0,25
USC00519397,41157,0.3,23.9
USC00519397,41158,1,25
USC00519397,41159,0,23.9
USC00519397,41160,1.5,25.6
USC00519397,41161,0,24.4
